Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
AF51-NA,BM51-NA,<10000,41366,10524.6,<10000,<10000
AF52-NA,BF52-NA,<10000,1.22051e+06,41120.2,<10000,<10000
AF52-NA,BM52-NA,<10000,59757.1,<10000,<10000,<10000
AF53-NA,BF53-NA,<10000,2.50877e+07,1.03829e+06,123823,<10000
AF53-NA,BM53-NA,<10000,8.70364e+06,110176,49911.4,<10000
AF54-NA,BM54-NA,<10000,14969.3,<10000,<10000,<10000
AF55-NA,BF55-NA,<10000,29161,<10000,<10000,<10000
AF55-NA,BM55-NA,<10000,96187.9,<10000,<10000,<10000
AF56-NA,AF95-NA,<10000,28534.2,<10000,<10000,<10000
AF56-NA,BF56-NA,<10000,50757.7,<10000,<10000,<10000
AF56-NA,BM56-NA,<10000,216165,<10000,<10000,<10000
AF57-NA,BF57-NA,<10000,286417,13669.2,<10000,<10000
AF57-NA,BM57-NA,<10000,36631.3,<10000,<10000,<10000
AF58-NA,BF58-NA,<10000,50416.4,<10000,<10000,<10000
AF59-NA,BF59-NA,<10000,135569,<10000,<10000,<10000
AF59-NA,BM59-NA,<10000,18370.7,<10000,<10000,<10000
AF60-NA,BF60-NA,<10000,31284.2,<10000,<10000,<10000
AF60-NA,BM60-NA,<10000,116342,<10000,<10000,<10000
AF61-NA,BF61-NA,<10000,97687.3,13483.7,<10000,<10000
AF61-NA,BM61-NA,<10000,64576.8,32426.3,<10000,<10000
AF63-NA,BF63-NA,<10000,571452,446202,<10000,<10000
AF63-NA,BM63-NA,<10000,173479,14495.7,<10000,<10000
AF64-NA,BF64-NA,<10000,16834.7,<10000,<10000,<10000
AF64-NA,BM64-NA,<10000,13642.4,<10000,<10000,<10000
AF65-NA,BF65-NA,<10000,1.71364e+06,<10000,20501.8,<10000
AF65-NA,BM65-NA,<10000,180534,<10000,<10000,<10000
AF66-NA,BF66-NA,<10000,13514,<10000,<10000,<10000
AF66-NA,BM66-NA,<10000,255513,<10000,<10000,<10000
AF67-NA,BF67-NA,<10000,590009,16091.9,<10000,<10000
AF67-NA,BM67-NA,<10000,233689,18332.3,<10000,<10000
AF67-NA,CF67-NA,<10000,<10000,104400,<10000,<10000
AF67-NA,CM67-NA,<10000,<10000,22345.7,<10000,<10000
AF68-NA,BF68-NA,<10000,8.57546e+06,1.27611e+06,50641.8,<10000
AF68-NA,BM68-NA,<10000,431276,1.35857e+06,<10000,<10000
AF68-NA,CM67-NA,<10000,<10000,74696.4,<10000,<10000
AF68-NA,CF68-NA,<10000,<10000,94201.6,<10000,<10000
AF69-NA,BF69-NA,<10000,246133,<10000,<10000,<10000
AF69-NA,BM69-NA,<10000,86314.6,<10000,<10000,<10000
AF70-NA,BF70-NA,<10000,39649.8,<10000,<10000,<10000
AF70-NA,BM70-NA,<10000,204274,<10000,<10000,<10000
AF71-NA,BF71-NA,<10000,74702.8,49691.1,<10000,<10000
AF71-NA,BM71-NA,<10000,49261.9,<10000,<10000,<10000
AF71-NA,CF55-NA,<10000,13563.7,<10000,<10000,<10000
AF72-NA,BF72-NA,<10000,317168,<10000,<10000,<10000
AF72-NA,BM72-NA,<10000,2.30883e+06,314708,27817.4,<10000
AF73-NA,BF73-NA,<10000,83520.5,100483,<10000,<10000
AF73-NA,BM73-NA,<10000,1.38564e+06,55179.5,10763,<10000
AF73-NA,CM73-NA,<10000,48362.8,<10000,<10000,<10000
AF74-NA,BF74-NA,<10000,223176,69504.1,<10000,<10000
AF74-NA,BM74-NA,<10000,2.41974e+07,3.22483e+06,67305.7,<10000
AF75-NA,BF75-NA,<10000,43617,<10000,<10000,<10000
AF75-NA,BM75-NA,<10000,83246.9,<10000,<10000,<10000
AF76-NA,BF76-NA,<10000,3.85376e+07,607839,155276,<10000
AF76-NA,BM76-NA,<10000,4.56549e+06,25816,42599.2,<10000
AF77-NA,BF77-NA,<10000,11835.3,<10000,<10000,<10000
AF77-NA,BM77-NA,<10000,77271.5,<10000,<10000,<10000
AF78-NA,BF78-NA,<10000,66824.2,<10000,<10000,<10000
AF78-NA,BM78-NA,<10000,12203.4,<10000,<10000,<10000
AF78-NA,CF78-NA,<10000,23627.1,<10000,<10000,<10000
AF79-NA,BF79-NA,<10000,714393,13104.7,<10000,<10000
AF79-NA,BM79-NA,<10000,705116,18224,<10000,<10000
AF80-NA,BF80-NA,<10000,65050.2,<10000,<10000,<10000
AF80-NA,BM80-NA,<10000,12050.6,<10000,<10000,<10000
AF81-NA,BF81-NA,<10000,1.2089e+07,35206.5,55940.2,<10000
AF81-NA,BM81-NA,<10000,527029,<10000,<10000,<10000
AF82-NA,BF82-NA,<10000,121520,23425.8,<10000,<10000
AF82-NA,BM82-NA,<10000,28625.6,<10000,<10000,<10000
